NEWID,ID,GROUP,SCORE,GROUPSIZE,YEAR,GROUPSIZECHANGE,SEX
1,MGGY,BWY,18,8,2015,0,F
2,MRGO,BWY,11,8,2015,0,F
3,BOMV,BWY,17,8,2015,0,F
5,BMBY,BWY,11,8,2015,0,M
7,MXWB,FMR,11,12,2015,-2,F
9,MXXMMM,FMR,12,12,2015,-2,M
10,PWMX,FMR,11,12,2015,-6,M
11,MXRP,FMR,14,12,2015,-6,M
12,RYMR,FMR,15,12,2015,-2,M
13,XXXX FEMALE KMO,KMO,24,3,2015,1,F
15,MXXRRB,LHP,17,6,2015,-2,M
16,OMGO,MBG,22,7,2015,-1,F
17,RMYG,MBG,38,7,2015,-1,M
18,VYMY,MBG,13,7,2015,-1,M
19,ROMO,MBG,10,7,2015,-1,M
20,XXXX MALE MBG,MBG,23,7,2015,-1,M
22,RMXGMX,NH,31,7,2015,1,F
23,YMXPBX,NH,11,7,2015,1,F
24,MMXYYX,NH,22,7,2015,1,F
27,MBXMGX,NH,19,7,2015,1,M
28,XXXX MALE NH,NH,14,7,2015,1,M
29,YGRMXX,PR,62,3,2015,1,F
30,XXXX FEMALE PR,PR,55,3,2015,1,F
31,VVVM,RVD,31,6,2015,0,F
32,MXWW,RVD,27,6,2015,0,M
33,GMYY,RVD,33,6,2015,0,M
34,MXXGRY,SS,42,6,2015,-1,F
37,MXXGYY,SS,28,6,2015,-1,M
38,MYRV,SS,65,6,2015,-1,M
1,MGGY,BWY,21,8,2018,0,F
2,MRGO,BWY,11,8,2018,0,F
3,BOMV,BWY,12,8,2018,0,F
5,BMBY,BWY,11,8,2018,0,M
7,MXWB,FMR,10,10,2018,-2,F
9,MXXMMM,FMR,13,10,2018,-2,M
10,PWMX,FMR,13,6,2018,-6,M
11,MXRP,FMR,28,6,2018,-6,M
12,RYMR,FMR,11,10,2018,-2,M
13,XXXX FEMALE KMO,KMO,43,4,2018,1,F
15,MXXRRB,LHP,12,4,2018,-2,M
16,OMGO,MBG,18,6,2018,-1,F
17,RMYG,MBG,24,6,2018,-1,M
18,VYMY,MBG,13,6,2018,-1,M
19,ROMO,MBG,11,6,2018,-1,M
20,XXXX MALE MBG,MBG,12,6,2018,-1,M
22,RMXGMX,NH,36,8,2018,1,F
23,YMXPBX,NH,15,8,2018,1,F
24,MMXYYX,NH,21,8,2018,1,F
27,MBXMGX,NH,15,8,2018,1,M
28,XXXX MALE NH,NH,14,8,2018,1,M
29,YGRMXX,PR,48,4,2018,1,F
30,XXXX FEMALE PR,PR,45,4,2018,1,F
31,VVVM,RVD,22,6,2018,0,F
32,MXWW,RVD,17,6,2018,0,M
33,GMYY,RVD,12,6,2018,0,M
34,MXXGRY,SS,30,5,2018,-1,F
37,MXXGYY,SS,16,5,2018,-1,M
38,MYRV,SS,19,5,2018,-1,M
