NEWID,ID,GROUP,SCORE,GROUPSIZE,YEAR,SEX,GROUPSIZECHANGE
1,MGGY,BWY,12,8,2015,F,0
2,MRGO,BWY,17,8,2015,F,0
3,BOMV ,BWY,23,8,2015,F,0
5,BMBY,BWY,16,8,2015,M,0
7,MXWB,FMR,21,12,2015,F,-2
9,MXXMMM,FMR,15,12,2015,M,-2
10,PWMX,FMR,27,12,2015,M,-6
11,MXRP,FMR,17,12,2015,M,-6
12,RYMR,FMR,23,12,2015,M,-2
13,XXXXFEMALEKMO,KMO,43,3,2015,F,1
15,MXXRRB,LHP,16,6,2015,M,-2
16,OMGO,MBG,18,7,2015,F,-1
17,RMYG,MBG,14,7,2015,M,-1
18,VYMY,MBG,12,7,2015,M,-1
19,ROMO,MBG,12,7,2015,M,-1
20,XXXXMALEMBG,MBG,20,7,2015,M,-1
22,RMXGMX,NH,76,7,2015,F,1
23,YMXPBX,NH,50,7,2015,F,1
24,MMXYYX,NH,51,7,2015,F,1
27,MBXMGX,NH,18,7,2015,M,1
28,XXXXMALENH,NH,11,7,2015,M,1
29,YGRMXX,PR,86,3,2015,F,1
30,XXXXFEMALEPR,PR,94,3,2015,F,1
31,VVVM,RVD,43,6,2015,F,0
32,MXWW,RVD,71,6,2015,M,0
33,GMYY,RVD,48,6,2015,M,0
34,MXXGRY,SS,55,6,2015,F,-1
37,MXXGYY,SS,34,6,2015,M,-1
38,MYRV,SS,40,6,2015,M,-1
1,MGGY,BWY,18,8,2018,F,0
2,MRGO,BWY,14,8,2018,F,0
3,BOMV ,BWY,15,8,2018,F,0
5,BMBY,BWY,12,8,2018,M,0
7,MXWB,FMR,11,10,2018,F,-2
9,MXXMMM,FMR,13,10,2018,M,-2
10,PWMX,FMR,19,6,2018,M,-6
11,MXRP,FMR,19,6,2018,M,-6
12,RYMR,FMR,12,10,2018,M,-2
13,XXXXFEMALEKMO,KMO,28,4,2018,F,1
15,MXXRRB,LHP,31,4,2018,M,-2
16,OMGO,MBG,18,6,2018,F,-1
17,RMYG,MBG,12,6,2018,M,-1
18,VYMY,MBG,14,6,2018,M,-1
19,ROMO,MBG,16,6,2018,M,-1
20,XXXXMALEMBG,MBG,16,6,2018,M,-1
22,RMXGMX,NH,32,8,2018,F,1
23,YMXPBX,NH,12,8,2018,F,1
24,MMXYYX,NH,12,8,2018,F,1
27,MBXMGX,NH,13,8,2018,M,1
28,XXXXMALENH,NH,11,8,2018,M,1
29,YGRMXX,PR,73,4,2018,F,1
30,XXXXFEMALEPR,PR,50,4,2018,F,1
31,VVVM,RVD,35,6,2018,F,0
32,MXWW,RVD,34,6,2018,M,0
33,GMYY,RVD,18,6,2018,M,0
34,MXXGRY,SS,33,5,2018,F,-1
37,MXXGYY,SS,15,5,2018,M,-1
38,MYRV,SS,28,5,2018,M,-1
