ID,GROUP,SCORE,GROUPSIZE,YEAR,GROUPSIZECHANGE,SEX
BMBY,BWY,0.67765,8,2018,0,M
BOMV,BWY,0.65322,8,2018,0,F
GMYY,RVD,0.90063,6,2018,0,M
MBXMGX,NH,0.61035,8,2018,1,M
MGGY,BWY,-0.26952,8,2018,0,F
MMXYYX,NH,0.63139,8,2018,1,F
MRGO,BWY,0.8426,8,2018,0,F
MXWB,FMR,1.11208,10,2018,-2,F
MXWW,RVD,-0.3622,6,2018,0,M
MXXGRY,SS,-1.17221,5,2018,-1,F
MXXGYY,SS,0.53754,5,2018,-1,M
MXXMMM,FMR,0.8067,10,2018,-2,M
MXXRRB,LHP,-0.3265,4,2018,-2,M
MYRV,SS,0.26992,5,2018,-1,M
OMGO,MBG,-0.00803,6,2018,-1,F
RMXGMX,NH,-0.58864,8,2018,1,F
RMYG,MBG,-0.22461,6,2018,-1,M
ROMO,MBG,0.16798,6,2018,-1,M
RYMR,FMR,0.9568,10,2018,-2,M
VVVM,RVD,-0.67149,6,2018,0,F
VYMY,MBG,0.04962,6,2018,-1,M
XXXX FEMALE KMO,KMO,-1.89021,4,2018,1,F
XXXX FEMALE PR,PR,-1.76599,4,2018,1,F
XXXX MALE MBG,MBG,0.52686,6,2018,-1,M
XXXX MALE NH,NH,0.89199,8,2018,1,M
YGRMXX,PR,-2.9882,4,2018,1,F
YMXPBX,NH,0.63229,8,2018,1,F
MGGY,BWY,0.4379,8,2015,0,F
MRGO,BWY,0.6585,8,2015,0,F
BOMV ,BWY,0.6965,8,2015,0,F
BMBY,BWY,0.9485,8,2015,0,M
MXWB,FMR,0.8852,12,2015,-2,F
MXXMMM,FMR,0.4704,12,2015,-2,M
RYMR,FMR,0.6165,12,2015,-2,M
XXXXFEMALEKMO,KMO,-0.8783,3,2015,1,F
MXXRRB,LHP,0.517,6,2015,-2,M
OMGO,MBG,0.7466,7,2015,-1,F
RMYG,MBG,0.0766,7,2015,-1,M
VYMY,MBG,0.3299,7,2015,-1,M
ROMO,MBG,0.5752,7,2015,-1,M
XXXXMALEMBG,MBG,0.6175,7,2015,-1,M
RMXGMX,NH,-1.3013,7,2015,1,F
YMXPBX,NH,-0.4563,7,2015,1,F
MMXYYX,NH,-0.2762,7,2015,1,F
MBXMGX,NH,0.3979,7,2015,1,M
XXXXMALENH,NH,0.6589,7,2015,1,M
YGRMXX,PR,-2.8437,3,2015,1,F
XXXXFEMALEPR,PR,-2.5036,3,2015,1,F
VVVM,RVD,-1.2698,6,2015,0,F
MXWW,RVD,-1.0773,6,2015,0,M
GMYY,RVD,-1.0399,6,2015,0,M
MXXGRY,SS,-1.0043,6,2015,-1,F
MXXGYY,SS,-0.1502,6,2015,-1,M
MYRV,SS,-1.6328,6,2015,-1,M
