NEWID,ID,GROUP,SCORE,GROUPSIZE,YEAR,GROUPSIZECHANGE,SEX
1,MGGY,BWY,4,8,2015,0,F
2,MRGO,BWY,5,8,2015,0,F
3,BOMV ,BWY,6,8,2015,0,F
4,MVVT,BWY,10,8,2015,0,F
5,BMBY,BWY,4,8,2015,0,M
7,MXWB,FMR,2,12,2015,-2,F
9,MXXMMM,FMR,10,12,2015,-2,M
10,PWMX,FMR,2,12,2015,-6,M
11,MXRP,FMR,2,12,2015,-6,M
12,RYMR,FMR,8,12,2015,-2,M
13,XXXXFEMALEKMO,KMO,12,3,2015,1,F
15,MXXRRB,LHP,9,6,2015,-2,M
16,OMGO,MBG,3,7,2015,-1,F
17,RMYG,MBG,6,7,2015,-1,M
18,VYMY,MBG,4,7,2015,-1,M
19,ROMO,MBG,8,7,2015,-1,M
20,XXXXMALEMBG,MBG,6,7,2015,-1,M
22,RMXGMX,NH,8,7,2015,1,F
23,YMXPBX,NH,13,7,2015,1,F
24,MMXYYX,NH,6,7,2015,1,F
27,MBXMGX,NH,8,7,2015,1,M
28,XXXXMALENH,NH,9,7,2015,1,M
29,YGRMXX,PR,20,3,2015,1,F
30,XXXXFEMALEPR,PR,27,3,2015,1,F
31,VVVM,RVD,16,6,2015,0,F
32,MXWW,RVD,7,6,2015,0,M
33,GMYY,RVD,12,6,2015,0,M
34,MXXGRY,SS,10,6,2015,-1,F
37,MXXGYY,SS,8,6,2015,-1,M
38,MYRV,SS,11,6,2015,-1,M
1,MGGY,BWY,7,8,2018,0,F
2,MRGO,BWY,4,8,2018,0,F
3,BOMV ,BWY,6,8,2018,0,F
4,MVVT,BWY,5,8,2018,0,F
5,BMBY,BWY,6,8,2018,0,M
7,MXWB,FMR,3,10,2018,-2,F
9,MXXMMM,FMR,4,10,2018,-2,M
10,PWMX,FMR,4,6,2018,-6,M
11,MXRP,FMR,4,6,2018,-6,M
12,RYMR,FMR,4,10,2018,-2,M
13,XXXXFEMALEKMO,KMO,15,4,2018,1,F
15,MXXRRB,LHP,10,4,2018,-2,M
16,OMGO,MBG,6,6,2018,-1,F
17,RMYG,MBG,7,6,2018,-1,M
18,VYMY,MBG,7,6,2018,-1,M
19,ROMO,MBG,6,6,2018,-1,M
20,XXXXMALEMBG,MBG,7,6,2018,-1,M
22,RMXGMX,NH,7,8,2018,1,F
23,YMXPBX,NH,6,8,2018,1,F
24,MMXYYX,NH,3,8,2018,1,F
27,MBXMGX,NH,6,8,2018,1,M
28,XXXXMALENH,NH,4,8,2018,1,M
29,YGRMXX,PR,14,4,2018,1,F
30,XXXXFEMALEPR,PR,12,4,2018,1,F
31,VVVM,RVD,7,6,2018,0,F
32,MXWW,RVD,9,6,2018,0,M
33,GMYY,RVD,3,6,2018,0,M
34,MXXGRY,SS,10,5,2018,-1,F
37,MXXGYY,SS,6,5,2018,-1,M
38,MYRV,SS,5,5,2018,-1,M
